id,الفعل الماضي,الجذر,باب الصرفي,اللزوم والتعدي,تم تدقيقه,تم إعادة تدقيقه,صحيح (الجذر حقيقي),المرجع ( المصدر ),المصدر
3121,غَرَبَ,غرب,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),لازم,0,1,1, لسان العرب,غُرُوب
3122,غَرِبَ,غرب,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَرَب
3123,غَرُبَ,غرب,فَعُلَ يَفْعُلُ ( ضمَ ضمَ ),لازم,0,1,1, لسان العرب,غَرَابَة
3124,غَرِثَ,غرث,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَرَث
3125,غَرِدَ,غرد,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَرَد
3126,غَرَّ,غرر,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,غُرُور
3127,غَرَّ,غرر,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),لازم,0,1,1, لسان العرب ,غَرَارة
3128,غَرَّ,غرر,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَرِير
3129,غَرَزَ,غرز,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب ,غَرْز
3130,خَتَلَ,ختل,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب,خَتْل
3131,غَرِزَ,غرز,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَرَز
3132,غَرَسَ,غرس,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَرْس
3133,غَرَضَ,غرض,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),مشترك ,0,1,1, لسان العرب,غَرْض
3134,غَرِضَ,غرض,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَرَض
3135,غَرُضَ,غرض,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب ,غَرَاضَة
3136,غَرَفَ,غرف,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),متعدي,0,1,1, لسان العرب ,غَرِيف
3137,غَرَفَ,غرف,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَرِيف
3138,غَرِفَ,غرف,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَرْف
3139,غَرِقَ,غرق,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَرَف
3140,غَرِلَ,غرل,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غَرَق
3141,غَرِمَ,غرم,فَعِلَ يَفْعَلُ ( كسر فتح ),مشترك ,0,1,1, لسان العرب,غَرَل
3142,غَرِنَ,غرن,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب,غُرْم
3143,غَرَا,غرو,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب,غَرَن
3144,غَرِيَ,غرو,فَعِلَ يَفْعَلُ ( كسر فتح ),لازم,0,1,1, لسان العرب ,غَرْو
3145,غَرَى,غري,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب ,غَرًى
3146,غَزُرَ,غزر,فَعُلَ يَفْعُلُ ( ضمَ ضمٍَ ),لازم,0,1,1, لسان العرب ,غَرْي
3147,غَزَّ,غزز,فَعَلَ يَفْعُلُ ( فتحُ ضمٍّ ),مشترك ,0,1,1, لسان العرب ,غَزَارَة
3148,غَزَلَ,غزل,فَعَلَ يَفْعِلُ ( فتحُ كَسْرٍ ),متعدي,0,1,1, لسان العرب,غَزّ
