معرّف_الوزن,الوزن,العائلة,البُعد,القيمة
faail,فَاعِل,اسم_فاعل,الفاعلية,1.0
faail,فَاعِل,اسم_فاعل,المفعولية,0.0
faail,فَاعِل,اسم_فاعل,التعدية,0.3
faail,فَاعِل,اسم_فاعل,اسم_المكان,0.0
faail,فَاعِل,اسم_فاعل,اسم_الزمان,0.0
faail,فَاعِل,اسم_فاعل,اسم_الآلة,0.0
faail,فَاعِل,اسم_فاعل,النسبة,0.0
faail,فَاعِل,اسم_فاعل,التفضيل_والمبالغة,0.1
faail,فَاعِل,اسم_فاعل,الكثرة_والجمع,0.0
faail,فَاعِل,اسم_فاعل,التحويل_الدلالي,0.0
faail,فَاعِل,اسم_فاعل,المصدر,0.0
faail,فَاعِل,اسم_فاعل,الجامد,0.0
mafuul,مَفْعُول,اسم_مفعول,الفاعلية,0.0
mafuul,مَفْعُول,اسم_مفعول,المفعولية,1.0
mafuul,مَفْعُول,اسم_مفعول,التعدية,0.2
mafuul,مَفْعُول,اسم_مفعول,اسم_المكان,0.0
mafuul,مَفْعُول,اسم_مفعول,اسم_الزمان,0.0
mafuul,مَفْعُول,اسم_مفعول,اسم_الآلة,0.0
mafuul,مَفْعُول,اسم_مفعول,النسبة,0.0
mafuul,مَفْعُول,اسم_مفعول,التفضيل_والمبالغة,0.0
mafuul,مَفْعُول,اسم_مفعول,الكثرة_والجمع,0.0
mafuul,مَفْعُول,اسم_مفعول,التحويل_الدلالي,0.2
mafuul,مَفْعُول,اسم_مفعول,المصدر,0.0
mafuul,مَفْعُول,اسم_مفعول,الجامد,0.0
mafal_place,مَفْعَل,اسم_مكان,الفاعلية,0.0
mafal_place,مَفْعَل,اسم_مكان,المفعولية,0.0
mafal_place,مَفْعَل,اسم_مكان,التعدية,0.0
mafal_place,مَفْعَل,اسم_مكان,اسم_المكان,1.0
mafal_place,مَفْعَل,اسم_مكان,اسم_الزمان,0.3
mafal_place,مَفْعَل,اسم_مكان,اسم_الآلة,0.2
mafal_place,مَفْعَل,اسم_مكان,النسبة,0.0
mafal_place,مَفْعَل,اسم_مكان,التفضيل_والمبالغة,0.0
mafal_place,مَفْعَل,اسم_مكان,الكثرة_والجمع,0.0
mafal_place,مَفْعَل,اسم_مكان,التحويل_الدلالي,0.0
mafal_place,مَفْعَل,اسم_مكان,المصدر,0.2
mafal_place,مَفْعَل,اسم_مكان,الجامد,0.0
mafala_place,مَفْعَلَة,اسم_مكان,الفاعلية,0.0
mafala_place,مَفْعَلَة,اسم_مكان,المفعولية,0.0
mafala_place,مَفْعَلَة,اسم_مكان,التعدية,0.0
mafala_place,مَفْعَلَة,اسم_مكان,اسم_المكان,1.0
mafala_place,مَفْعَلَة,اسم_مكان,اسم_الزمان,0.2
mafala_place,مَفْعَلَة,اسم_مكان,اسم_الآلة,0.1
mafala_place,مَفْعَلَة,اسم_مكان,النسبة,0.0
mafala_place,مَفْعَلَة,اسم_مكان,التفضيل_والمبالغة,0.0
mafala_place,مَفْعَلَة,اسم_مكان,الكثرة_والجمع,0.0
mafala_place,مَفْعَلَة,اسم_مكان,التحويل_الدلالي,0.0
mafala_place,مَفْعَلَة,اسم_مكان,المصدر,0.1
mafala_place,مَفْعَلَة,اسم_مكان,الجامد,0.0
faaaal_intense,فَعَّال,مبالغة_فاعل,الفاعلية,0.9
faaaal_intense,فَعَّال,مبالغة_فاعل,المفعولية,0.0
faaaal_intense,فَعَّال,مبالغة_فاعل,التعدية,0.5
faaaal_intense,فَعَّال,مبالغة_فاعل,اسم_المكان,0.0
faaaal_intense,فَعَّال,مبالغة_فاعل,اسم_الزمان,0.0
faaaal_intense,فَعَّال,مبالغة_فاعل,اسم_الآلة,0.3
faaaal_intense,فَعَّال,مبالغة_فاعل,النسبة,0.0
faaaal_intense,فَعَّال,مبالغة_فاعل,التفضيل_والمبالغة,0.5
faaaal_intense,فَعَّال,مبالغة_فاعل,الكثرة_والجمع,0.2
faaaal_intense,فَعَّال,مبالغة_فاعل,التحويل_الدلالي,0.0
faaaal_intense,فَعَّال,مبالغة_فاعل,المصدر,0.0
faaaal_intense,فَعَّال,مبالغة_فاعل,الجامد,0.0
istafala_verb,إِسْتَفْعَل,فعل_مزيد,الفاعلية,0.7
