pattern_id,pattern_form,family,examples,dimension_needing_subtype,current_value,subtype_options,suggested_subtype,notes
faaaal_intense,فَعَّال,intensified_agent,كَتَّاب | غَفَّار | صَنَّاع,comparison,0.5,مبالغة | تفضيل | تصغير,,
faiil_attr,فَعِيل,attributive_adj,كَرِيم | عَلِيم | حَكِيم,comparison,0.6,مبالغة | تفضيل | تصغير,,
fuayyil_dim,فُعَيِّل,diminutive,كُتَيِّب | نُهَيِّر | جُبَيِّل,comparison,0.7,مبالغة | تفضيل | تصغير,,
afaal_plural,أَفْعَال,broken_plural,أَعْمَال | أَقْوَال | أَفْعَال,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fiaal_plural,فِعَال,broken_plural,جِبَال | رِجَال | كِبَاش,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fuuul_plural,فُعُول,broken_plural,قُلُوب | كُتُب | بُيُوت,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fual_plural,فُعَل,broken_plural,دُوَل | صُوَر | حُجَج,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fiaala_masdar_craft,فِعَالَة,masdar_craft,كِتَابَة | زِرَاعَة | صِنَاعَة,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
faula_verb_quality,فَعُل,quality_verb,ضَعُف | كَبُر | شَرُف,comparison,0.5,مبالغة | تفضيل | تصغير,,
faal_noun,فَعْل,simple_noun,بَيْت | يَوْم | حَمْد,masdar,0.4,صريح | ميمي | صناعي | مرة | هيئة,,
fial_noun,فِعْل,simple_noun,إِنْس | حِبْر | فِكْر,masdar,0.4,صريح | ميمي | صناعي | مرة | هيئة,,
fuul_plural_alt,فُعُل,broken_plural,كُتُب | رُسُل | سُبُل,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
fial_plural,فِعَل,broken_plural,نِعَم | قِطَع | هِمَم,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
faaala_intensive_verb,فَعَّل,intensive_verb,عَلَّم | كَسَّر | فَرَّح,multiplication,0.4,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
yufaaeel_present,يُفَعِّل,intensive_present,يُعَلِّم | يُبَدِّل | يُحَدِّث,multiplication,0.4,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
nufaaeel_present,نُفَعِّل,intensive_present_1pl,نُسَبِّح | نُكَفِّر | نُعَلِّم,multiplication,0.4,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
aful_plural,أَفْعُل,broken_plural,أَشْهُر | أَنْفُس | أَنْهُر,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
afilah_plural,أَفْعِلَة,broken_plural,أَكْلِبَة | أَطْعِمَة | أَجْوِبَة,multiplication,1.0,تكسير | مذكر_سالم | مؤنث_سالم | مثنى | اسم_جنس | اسم_جمع,,
istifaal_masdar,إِسْتِفْعَال,masdar_form10,اسْتِعْمَال | اسْتِخْرَاج | اسْتِغْفَار,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
iftiaal_masdar,إِفْتِعَال,masdar_form8,افْتِخَار | اقْتِرَاب | اجْتِمَاع,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
tafil_masdar,تَفْعِيل,masdar_form2,تَقْطِيع | تَعْلِيم | تَفْعِيل,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
tafaul_masdar,تَفَعُّل,masdar_form5,تَعَلُّم | تَقَدُّم | تَكَلُّم,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
tafaul_masdar_form6,تَفَاعُل,masdar_form6,تَوَاصُل | تَعَاوُن | تَكَاتُب,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
faiilah_attr,فَعِيلَة,attributive_fem,حَمِيدَة | سَمِيرَة | كَرِيمَة,comparison,0.5,مبالغة | تفضيل | تصغير,,
faaalah_intensive_fem,فَعَّالَة,intensified_fem,كَمَّاشَة | غَسَّالَة | سَيَّارَة,comparison,0.4,مبالغة | تفضيل | تصغير,,
faulu_quality_noun,فَعُول,intensive_attr,ذَلُول | صَبُور | شَكُور,comparison,0.7,مبالغة | تفضيل | تصغير,,
fauliyya_masdar,فَعُولِيَّة,abstract_quality,صُبُوحِيَّة | ذُكُورِيَّة | بُطُولِيَّة,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
fualiyya_masdar,فَعَالِيَّة,abstract_quality,عَمَالِيَّة | إِنْسَانِيَّة | وَطَنِيَّة,masdar,1.0,صريح | ميمي | صناعي | مرة | هيئة,,
falaaan_attr,فَعْلَان,intensive_state,عَطْشَان | غَضْبَان | يَقْظَان,comparison,0.6,مبالغة | تفضيل | تصغير,,
falaa_fem_color,فَعْلَاء,fem_color,صَفْرَاء | حَمْرَاء | بَيْضَاء,comparison,0.7,مبالغة | تفضيل | تصغير,,
