الوزن,مثال,CV_الوزن,CV_مثال
أَفْعَل,أَسوَد,CVCCVC,CVCCVC
أَفْعَل,أَكْبَر,CVCCVC,CVCCVC
أَفْعِلَة,أَكْلِبَة,CVCCVCVC,CVCCVCVC
إِسْتَفْعَل,اسْتَخْرَج,CVCCVCCVC,CVCCVCCVC
إِسْتَفْعِل,اسْتَغْفِر,CVCCVCCVC,CVCCVCCVCV
إِسْتَفْعِل,اسْتَقْرِئ,CVCCVCCVC,CVCCVCCVC
إِسْتِفْعَال,اسْتِعْمَال,CVCCVCCVVC,CVCCVCCVVC
إِفْتَعَل,اقْتَرَض,CVCCVCVC,CVCCVCVC
إِفْتَعِل,اسْتَبِق,CVCCVCVC,CVCCVCVC
إِفْتَعِل,اعْتَمِد,CVCCVCVC,CVCCVCVC
إِفْتِعَال,افْتِخَار,CVCCVCVVC,CVCCVCVVC
فَعْلَان,اطْمَأَن,CVCCVVC,CVCCVCVC
أَفْعَل,احْمَر,CVCCVC,CVCCVC
أَفْعَل,اقْرَأ,CVCCVC,CVCCVC
إِنْفَعَل,انْكَسَر,CVCCVCVC,CVCCVCVC
تَفَاعَل,تَعَاوَن,CVCVVCVC,CVCVVCVC
تَفَاعُل,تَوَاصُل,CVCVVCVC,CVCVVCVC
تَفَعَّل,تَبَرَّأ,CVCVCCVC,CVCVCCVC
تَفَعَّل,تَعَلَّم,CVCVCCVC,CVCVCCVC
تَفَعُّل,تَعَلُّم,CVCVCCVC,CVCVCCVC
تَفْعِيل,تَقْطِيع,CVCCVVC,CVCCVVC
تَفْعِيلَ,تَعْلِيمَ,CVCCVVCVC,CVCCVVCVC
تَفْعِيلِي,تَصْوِيرِي,CVCCVVCVV,CVCCVVCVV
فَاعَل,كَاتَب,CVVCVC,CVVCVC
فَاعِل,صَابِر,CVVCVC,CVVCVC
فَاعِل,مَالِك,CVVCVC,CVVCVC
فَعَائِل,عَجَائِز,CVCVVCVC,CVCVVCVC
فَعَالَى,خَطَايَا,CVCVVCVC,CVCVVCVV
فَعَالِيَّة,عَمَالِيَّة,CVCVVCVVCVC,CVCVVCVVCVC
فَعَل,قَرَأ,CVCVC,CVCVC
فَعَلَة,عَبَدَة,CVCVCVC,CVCVCVC
فَعَل,أَزَل,CVCVC,CVCVC
فَعَلِي,عَرَبِي,CVCVCVV,CVCVCVV
فَعَوْل,عَنَوْا,CVCVCC,CVCVCC
فَعَّال,غَفَّار,CVCCVVC,CVCCVVC
فَعَّالَة,كَمَّاشَة,CVCCVVCVC,CVCCVVCVC
فَعَّل,سَبَّح,CVCCVC,CVCCVC
فَعُل,ضَعُف,CVCVC,CVCVC
فَعُول,لَق,CVCVVC,CVCV
